X,Y,mag,alti
536904.438756447,-1768582.79591434,-218.216171264648,2703.91284179688
540904.438756447,-1768582.79591434,403.796936035156,2887.7861328125
541404.438756447,-1768582.79591434,486.753540039063,2913.67602539063
541904.438756447,-1768582.79591434,557.0234375,2928.55712890625
546404.438756447,-1768582.79591434,-212.460067749023,2637.67822265625
546904.438756447,-1768582.79591434,-290.689910888672,2588.99389648438
547404.438756447,-1768582.79591434,-302.700927734375,2540.81494140625
551404.438756447,-1768582.79591434,-165.342620849609,2251.34521484375
555904.438756447,-1768582.79591434,-129.549850463867,2116.18774414063
556404.438756447,-1768582.79591434,-130.550521850586,2126.8408203125
556904.438756447,-1768582.79591434,-135.938278198242,2125.1103515625
560904.438756447,-1768582.79591434,-195.898574829102,2271.763671875
561404.438756447,-1768582.79591434,-180.464172363281,2314.62841796875
561904.438756447,-1768582.79591434,-160.010498046875,2354.68798828125
564904.438756447,-1768582.79591434,-23.7061653137207,2486.87719726563
565404.438756447,-1768582.79591434,-83.3505706787109,2495.26489257813
565904.438756447,-1768582.79591434,-62.5512199401855,2508.44506835938
516904.438756447,-1768082.79591434,-137.441360473633,2190.54370117188
521404.438756447,-1768082.79591434,-102.014060974121,2254.81884765625
525904.438756447,-1768082.79591434,-139.045745849609,2379.50903320313
526404.438756447,-1768082.79591434,-130.653747558594,2353.61987304688
526904.438756447,-1768082.79591434,-132.011932373047,2406.03198242188
527404.438756447,-1768082.79591434,-113.32788848877,2439.064453125
527904.438756447,-1768082.79591434,-81.9967498779297,2453.1298828125
528404.438756447,-1768082.79591434,-35.8899688720703,2454.90747070313
528904.438756447,-1768082.79591434,-0.0414472483098507,2453.84326171875
529404.438756447,-1768082.79591434,15.3183898925781,2457.11303710938
529904.438756447,-1768082.79591434,23.0262260437012,2464.08178710938
530404.438756447,-1768082.79591434,49.0578575134277,2477.94775390625
530904.438756447,-1768082.79591434,-68.4083023071289,2515.54028320313
531404.438756447,-1768082.79591434,-142.639007568359,2597.61499023438
531904.438756447,-1768082.79591434,-215.581069946289,2457.55517578125
532404.438756447,-1768082.79591434,-256.037658691406,2375.6416015625
532904.438756447,-1768082.79591434,-273.964263916016,2333.6259765625
533404.438756447,-1768082.79591434,-277.546417236328,2320.72827148438
533904.438756447,-1768082.79591434,-284.285736083984,2329.66259765625
534404.438756447,-1768082.79591434,-291.329345703125,2368.16235351563
535904.438756447,-1768082.79591434,-272.367553710938,2606.43237304688
536404.438756447,-1768082.79591434,-277.455932617188,2697.5791015625
536904.438756447,-1768082.79591434,-287.350494384766,2690.7646484375
540904.438756447,-1768082.79591434,506.316467285156,2893.62744140625
541404.438756447,-1768082.79591434,600.320495605469,2916.16967773438
541904.438756447,-1768082.79591434,642.815368652344,2940.00805664063
